Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
3P_1_D1	3P_1	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9803	33855	0	37428	30282	0	7146	22191	21468	0	723	59.29	70.89	NaN	10.12	15783	476460	30041	6.31	2216	7.38	63522	25591	25436	40.29	44.5	3277	12.81	+	0.57869	0.8545	0.4055	0.62681	
3P_1_SCX_3	3P_1	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		18564	27150	0	32110	22190	0	9920	9853	9686	0	167	30.69	43.65	NaN	1.68	5765	980517	22840	2.33	2302	10.08	70517	17545	17082	24.88	33.67	3381	19.27	+	0.57298	0.82836	0.44754	0.66004	
3P_1_SCX_4	3P_1	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10977	33389	0	38907	27871	0	11036	19169	18098	0	1071	49.27	64.93	NaN	9.7	12650	489018	28085	5.74	2854	10.16	54133	21989	21702	40.62	46.68	4172	18.97	+	0.59328	0.87228	0.42419	0.63978	
3P_1_SCX_5	3P_1	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11130	33203	0	38652	27754	0	10898	19274	18152	0	1122	49.87	65.4	NaN	10.3	12694	474834	27963	5.89	2770	9.91	54674	21992	21768	40.22	45.3	4011	18.24	+	0.53486	0.79496	0.36616	0.56507	
3P_1_SCX_X	3P_1	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11810	32911	0	36871	28951	0	7920	22414	21307	0	1107	60.79	73.6	NaN	13.98	14401	481492	28786	5.98	2391	8.31	59615	24276	24106	40.72	46.06	3396	13.99	+	0.53988	0.80794	0.35888	0.56806	
3P_2_D1	3P_2	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13380	30862	0	34621	27103	0	7518	18448	17847	0	601	53.29	65.85	NaN	7.99	13532	572316	27028	4.72	2288	8.47	61998	22300	22113	35.97	40.65	3369	15.11	+	0.55323	0.80935	0.37997	0.58065	
3P_2_SCX_3	3P_2	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		26074	21306	0	24650	17962	0	6688	8527	8185	0	342	34.59	45.57	NaN	5.11	4989	1319657	18190	1.38	1828	10.05	83627	14417	14011	17.24	24.13	2604	18.06	+	0.53271	0.75543	0.41534	0.603	
3P_2_SCX_4	3P_2	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13438	31362	0	36483	26241	0	10242	17376	16440	0	936	47.63	62.65	NaN	9.14	11432	623746	26402	4.23	2664	10.09	59121	20740	20472	35.08	40.91	3920	18.9	+	0.57314	0.84613	0.41324	0.62763	
3P_2_SCX_5	3P_2	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13717	31021	0	36242	25800	0	10442	17169	16321	0	848	47.37	63.26	NaN	8.12	11363	574720	26137	4.55	2585	9.89	57591	20478	20274	35.56	40.74	3772	18.42	+	0.53109	0.79816	0.36216	0.56206	
3P_2_SCX_X	3P_2	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13080	31501	0	35361	27641	0	7720	20646	19664	0	982	58.39	71.14	NaN	12.72	13130	520116	27303	5.25	2432	8.91	59228	22724	22572	38.37	43.89	3482	15.32	+	0.53682	0.7999	0.35774	0.56041	
3P_3_D1	3P_3	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9637	33975	0	38146	29804	0	8342	20323	19605	0	718	53.28	65.78	NaN	8.61	14552	494852	29644	5.99	2488	8.39	62147	24479	24311	39.39	43.56	3636	14.85	+	0.57885	0.85455	0.39693	0.60954	
3P_3_SCX_3	3P_3	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		21241	25085	0	29360	20810	0	8550	9969	9666	0	303	33.95	46.45	NaN	3.54	5863	1129188	21133	1.87	2218	10.5	75326	16517	16096	21.93	30.21	3108	18.82	+	0.57233	0.82317	0.43034	0.62928	
3P_3_SCX_4	3P_3	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14258	30741	0	35846	25636	0	10210	16823	16041	0	782	46.93	62.57	NaN	7.66	11192	729362	25596	3.51	2830	11.06	63221	20047	19768	31.71	38.34	3934	19.62	+	0.58727	0.87224	0.4002	0.60896	
3P_3_SCX_5	3P_3	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		12354	32336	0	37539	27133	0	10406	18226	17259	0	967	48.55	63.61	NaN	9.29	12114	567468	27039	4.76	2853	10.55	58967	21294	21086	36.11	41.07	3974	18.66	+	0.5487	0.81046	0.36595	0.55636	
3P_3_SCX_X	3P_3	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11655	32966	0	37214	28718	0	8496	21603	20468	0	1135	58.05	71.27	NaN	13.36	13890	509458	28397	5.57	2633	9.27	59723	23586	23412	39.49	44.55	3616	15.33	+	0.54646	0.82681	0.35754	0.5678	
SIC_1_D1	SIC_1	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11580	32295	0	35376	29214	0	6162	21625	20978	0	647	61.13	71.81	NaN	10.5	16018	494332	28365	5.74	2349	8.28	62142	24227	24057	38.99	43.45	3385	13.97	+	0.58862	0.87367	0.40383	0.62219	
