3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
3228200,0,0,0,0,0
0,11527000,0,0,0,0
0,0,0,0,0,29222000
3656900,4729800,4356200,7145700,6387400,6389200
234720000,189230000,299510000,131630000,131340000,152530000
0,0,0,0,0,1160700
6282700,6937500,4708300,6931100,0,0
0,0,14664000,0,0,0
0,0,0,0,0,1454100
0,0,6406300,0,0,0
0,916870,0,0,0,0
0,0,0,0,0,4786400
292010000,233080000,216890000,310720000,359590000,270910000
70522000,70151000,80348000,25685000,21262000,26466000
0,0,0,0,0,510180
0,0,0,0,0,1780600
93451000,97310000,76608000,46472000,55930000,42390000
0,2259000,1922200,0,0,0
0,0,0,0,0,4269000
5267100,5852500,5188900,12938000,13051000,11737000
15375000,18737000,18561000,14079000,11419000,12732000
0,3928800,2316600,1995900,2477400,0
1044600,0,0,0,0,0
191020000,198250000,145620000,123240000,134260000,119600000
38088000,42740000,40519000,48687000,44553000,42032000
0,1513000,0,0,0,2010300
9048600,0,9427200,0,0,3445000
15781000,16589000,15015000,15625000,15369000,15630000
0,1212200,0,1772900,2993200,2067300
3593900,4370900,5037800,6908300,7911200,6882100
10243000,7935600,7011200,5036700,5928000,4879600
0,0,0,1972200,1561800,1771100
0,0,0,0,625820,0
0,0,0,0,0,881330
2978700,0,0,0,0,0
0,0,0,0,3391700,0
55340000,50637000,55862000,77314000,75917000,78106000
278420000,243480000,229690000,186990000,158840000,150080000
0,0,709740,0,0,0
9935100,10159000,10042000,15577000,13693000,12081000
41223000,34259000,30103000,24095000,25434000,29722000
0,0,0,10515000,0,7099900
0,0,0,1352800,0,0
0,0,0,0,0,1094100
0,0,0,0,0,7288300
62590000,58521000,66734000,137310000,127050000,139170000
12974000,14844000,10464000,10033000,10635000,9676900
0,0,0,0,0,1229700
0,0,3923100,3121500,0,0
0,0,0,0,0,0
0,0,0,0,0,495500
1314600,0,0,1140500,1046100,1242300
48502000,46125000,38610000,4927400,5508200,3840100
0,0,0,0,0,20792000
0,0,0,1629600,2414300,1327000
0,2261100,0,0,0,1216300
3648300,5826900,5756800,5284000,5166900,3560300
20762000,17773000,16282000,19610000,16867000,11826000
2842400,2175900,3123600,1870300,0,0
2257500,0,0,0,2884800,3173100
0,0,0,0,0,1104900
0,0,0,0,0,9095700
0,0,0,5159900,5401900,4947100
2918700,3213400,4302800,0,3588100,3578200
6022100,0,0,0,0,0
13228000,21867000,15264000,10084000,11558000,0
