gene1	gene2	combined_score
MCM5	MSH2	631
MCM5	MSH2	631
MCM5	MSH6	749
MCM5	MSH6	749
MSH2	MSH6	999
MSH2	MSH6	999
CTSH	CTSD	846
CTSH	CTSD	846
MSH6	NUDCD1	634
MSH6	NUDCD1	634
NID2	GNG11	409
NID2	GNG11	409
CTSH	PXDN	445
CTSH	PXDN	445
CTSD	PXDN	503
CTSD	PXDN	503
MCM5	SMARCC1	407
MCM5	SMARCC1	407
MCM5	NASP	664
MCM5	NASP	664
MSH2	NASP	450
MSH2	NASP	450
MSH6	NASP	422
MSH6	NASP	422
ACTN4	ITGAV	697
ACTN4	ITGAV	697
MCM5	MCM4	999
MCM5	MCM4	999
MSH2	MCM4	606
MSH2	MCM4	606
MSH6	MCM4	735
MSH6	MCM4	735
NASP	MCM4	599
NASP	MCM4	599
LGALS1	LGALS3BP	826
LGALS1	LGALS3BP	826
CTSD	LGALS3BP	486
CTSD	LGALS3BP	486
PAG1	GAB1	568
PAG1	GAB1	568
MCM5	MCM6	999
MCM5	MCM6	999
MSH2	MCM6	637
MSH2	MCM6	637
MSH6	MCM6	802
MSH6	MCM6	802
NASP	MCM6	709
NASP	MCM6	709
MCM4	MCM6	999
MCM4	MCM6	999
MCM5	MCM2	999
MCM5	MCM2	999
MSH2	MCM2	673
MSH2	MCM2	673
MSH6	MCM2	541
MSH6	MCM2	541
NASP	MCM2	568
NASP	MCM2	568
MCM4	MCM2	999
MCM4	MCM2	999
MCM6	MCM2	999
MCM6	MCM2	999
LGALS1	IQGAP1	522
LGALS1	IQGAP1	522
NUDCD1	IQGAP1	622
NUDCD1	IQGAP1	622
ACTN4	IQGAP1	810
ACTN4	IQGAP1	810
MCM5	NUF2	552
MCM5	NUF2	552
VRK1	NUF2	439
VRK1	NUF2	439
MSH2	NUF2	442
MSH2	NUF2	442
NASP	NUF2	561
NASP	NUF2	561
IGF2BP3	NUF2	423
IGF2BP3	NUF2	423
MCM4	NUF2	572
MCM4	NUF2	572
MCM6	NUF2	628
MCM6	NUF2	628
MCM2	NUF2	437
MCM2	NUF2	437
IGF2BP3	IGF2BP1	984
IGF2BP3	IGF2BP1	984
PXDN	S100B	447
PXDN	S100B	447
IQGAP1	S100B	625
IQGAP1	S100B	625
PXDN	ALDH1A1	529
PXDN	ALDH1A1	529
SFRP2	CRABP1	423
SFRP2	CRABP1	423
ALDH1A1	CRABP1	413
ALDH1A1	CRABP1	413
CTSD	MAP1A	524
CTSD	MAP1A	524
PXDN	MAP1A	537
PXDN	MAP1A	537
MCM5	FEN1	942
MCM5	FEN1	942
VRK1	FEN1	438
VRK1	FEN1	438
MSH2	FEN1	948
MSH2	FEN1	948
MSH6	FEN1	950
MSH6	FEN1	950
NASP	FEN1	502
NASP	FEN1	502
MCM4	FEN1	941
MCM4	FEN1	941
MCM6	FEN1	907
MCM6	FEN1	907
MCM2	FEN1	912
MCM2	FEN1	912
NUF2	FEN1	526
NUF2	FEN1	526
LGALS1	ALCAM	561
LGALS1	ALCAM	561
ITGAV	ALCAM	539
ITGAV	ALCAM	539
S100B	ALCAM	844
S100B	ALCAM	844
ALDH1A1	ALCAM	649
ALDH1A1	ALCAM	649
HEXB	GLB1	962
HEXB	GLB1	962
MCM6	GLB1	425
MCM6	GLB1	425
MCM5	MCM7	999
MCM5	MCM7	999
MSH2	MCM7	710
MSH2	MCM7	710
MSH6	MCM7	589
MSH6	MCM7	589
SMARCC1	MCM7	478
SMARCC1	MCM7	478
NASP	MCM7	810
NASP	MCM7	810
MCM4	MCM7	999
MCM4	MCM7	999
MCM6	MCM7	999
MCM6	MCM7	999
MCM2	MCM7	999
MCM2	MCM7	999
NUF2	MCM7	421
NUF2	MCM7	421
FEN1	MCM7	903
FEN1	MCM7	903
PXDN	MMP14	457
PXDN	MMP14	457
IQGAP1	MMP14	520
IQGAP1	MMP14	520
MCM5	TYMS	896
MCM5	TYMS	896
MSH2	TYMS	602
MSH2	TYMS	602
MSH6	TYMS	576
MSH6	TYMS	576
NASP	TYMS	562
NASP	TYMS	562
MCM4	TYMS	938
MCM4	TYMS	938
MCM6	TYMS	875
MCM6	TYMS	875
MCM2	TYMS	813
MCM2	TYMS	813
NUF2	TYMS	753
NUF2	TYMS	753
BHMT	TYMS	686
BHMT	TYMS	686
FEN1	TYMS	794
FEN1	TYMS	794
MCM7	TYMS	734
MCM7	TYMS	734
BHMT	PIPOX	565
BHMT	PIPOX	565
BHMT	PCK1	410
BHMT	PCK1	410
PLIN2	PCK1	608
PLIN2	PCK1	608
GPD1	PCK1	501
GPD1	PCK1	501
IGF2BP3	TRIM25	408
IGF2BP3	TRIM25	408
GPD1	ENO3	428
GPD1	ENO3	428
PCK1	ENO3	958
PCK1	ENO3	958
MCM5	NCAPD2	736
MCM5	NCAPD2	736
NASP	NCAPD2	450
NASP	NCAPD2	450
MCM4	NCAPD2	732
MCM4	NCAPD2	732
MCM6	NCAPD2	626
MCM6	NCAPD2	626
MCM2	NCAPD2	713
MCM2	NCAPD2	713
NUF2	NCAPD2	604
NUF2	NCAPD2	604
FEN1	NCAPD2	464
FEN1	NCAPD2	464
MCM7	NCAPD2	773
MCM7	NCAPD2	773
TYMS	NCAPD2	519
TYMS	NCAPD2	519
TMOD1	FLNC	600
TMOD1	FLNC	600
ITGAV	FLNC	710
ITGAV	FLNC	710
PDLIM3	FLNC	682
PDLIM3	FLNC	682
SFRP1	DNMT3B	405
SFRP1	DNMT3B	405
MSH2	DNMT3B	432
MSH2	DNMT3B	432
MSH6	DNMT3B	478
MSH6	DNMT3B	478
FLNC	SYNM	705
FLNC	SYNM	705
CTSD	LIPA	425
CTSD	LIPA	425
PLIN2	LIPA	472
PLIN2	LIPA	472
GPC2	EPHA3	416
GPC2	EPHA3	416
DNMT3B	DLK1	529
DNMT3B	DLK1	529
TRIM25	TRIM24	410
TRIM25	TRIM24	410
CRABP1	ASH2L	468
CRABP1	ASH2L	468
PXDN	H1F0	419
PXDN	H1F0	419
SMARCC1	H1F0	467
SMARCC1	H1F0	467
NASP	H1F0	857
NASP	H1F0	857
MCM7	H1F0	551
MCM7	H1F0	551
DNMT3B	H1F0	608
DNMT3B	H1F0	608
CTSH	CTSL	773
CTSH	CTSL	773
CTSD	CTSL	897
CTSD	CTSL	897
CEBPZ	DDX21	544
CEBPZ	DDX21	544
NUDCD1	DDX21	684
NUDCD1	DDX21	684
TRIM25	DDX21	579
TRIM25	DDX21	579
TMOD1	ADD3	939
TMOD1	ADD3	939
ACTN4	SPTBN1	489
ACTN4	SPTBN1	489
IQGAP1	SPTBN1	668
IQGAP1	SPTBN1	668
EPB41L3	SPTBN1	894
EPB41L3	SPTBN1	894
ADD3	SPTBN1	535
ADD3	SPTBN1	535
ITGAV	EPHA2	641
ITGAV	EPHA2	641
IQGAP1	EPHA2	432
IQGAP1	EPHA2	432
GPD1	EPHA2	767
GPD1	EPHA2	767
MMP14	EPHA2	429
MMP14	EPHA2	429
EPHA3	EPHA2	546
EPHA3	EPHA2	546
MCM5	ELN	718
MCM5	ELN	718
NID2	ELN	703
NID2	ELN	703
PXDN	ELN	522
PXDN	ELN	522
MCM4	ELN	806
MCM4	ELN	806
MCM6	ELN	427
MCM6	ELN	427
MCM2	ELN	610
MCM2	ELN	610
GLB1	ELN	987
GLB1	ELN	987
MCM7	ELN	550
MCM7	ELN	550
MMP14	ELN	587
MMP14	ELN	587
CTSL	ELN	418
CTSL	ELN	418
ALDH1A1	AKR1B10	437
ALDH1A1	AKR1B10	437
GLB1	AKR1B10	902
GLB1	AKR1B10	902
CEBPZ	MAK16	878
CEBPZ	MAK16	878
DDX21	MAK16	605
DDX21	MAK16	605
MCM5	WDHD1	999
MCM5	WDHD1	999
MSH2	WDHD1	694
MSH2	WDHD1	694
MSH6	WDHD1	708
MSH6	WDHD1	708
SMARCC1	WDHD1	568
SMARCC1	WDHD1	568
MCM4	WDHD1	999
MCM4	WDHD1	999
MCM6	WDHD1	998
MCM6	WDHD1	998
MCM2	WDHD1	998
MCM2	WDHD1	998
NUF2	WDHD1	556
NUF2	WDHD1	556
FEN1	WDHD1	889
FEN1	WDHD1	889
MCM7	WDHD1	996
MCM7	WDHD1	996
TYMS	WDHD1	559
TYMS	WDHD1	559
NCAPD2	WDHD1	456
NCAPD2	WDHD1	456
CEBPZ	GTPBP4	983
CEBPZ	GTPBP4	983
CA2	GTPBP4	406
CA2	GTPBP4	406
DDX21	GTPBP4	813
DDX21	GTPBP4	813
MAK16	GTPBP4	997
MAK16	GTPBP4	997
GPC2	HS3ST3B1	526
GPC2	HS3ST3B1	526
CEBPZ	HEATR1	942
CEBPZ	HEATR1	942
DDX21	HEATR1	500
DDX21	HEATR1	500
GTPBP4	HEATR1	933
GTPBP4	HEATR1	933
MCM5	PARP1	446
MCM5	PARP1	446
