"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Function","GO:0005488",163,12838,9606,"9606.ENSP00000199448,9606.ENSP00000215909,9606.ENSP00000216122,9606.ENSP00000216286,9606.ENSP00000216639,9606.ENSP00000220166,9606.ENSP00000220597,9606.ENSP00000220772,9606.ENSP00000222553,9606.ENSP00000233146,9606.ENSP00000234170,9606.ENSP00000234420,9606.ENSP00000248564,9606.ENSP00000252699,9606.ENSP00000252804,9606.ENSP00000254480,9606.ENSP00000255120,9606.ENSP00000258729,9606.ENSP00000259365,9606.ENSP00000261023,9606.ENSP00000261416,9606.ENSP00000262105,9606.ENSP00000262932,9606.ENSP00000263314,9606.ENSP00000264071,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000265071,9606.ENSP00000265107,9606.ENSP00000268182,9606.ENSP00000271452,9606.ENSP00000271715,9606.ENSP00000274063,9606.ENSP00000274353,9606.ENSP00000282486,9606.ENSP00000284202,9606.ENSP00000284767,9606.ENSP00000285379,9606.ENSP00000290341,9606.ENSP00000291700,9606.ENSP00000297785,9606.ENSP00000299529,9606.ENSP00000300231,9606.ENSP00000301149,9606.ENSP00000305480,9606.ENSP00000305988,9606.ENSP00000306920,9606.ENSP00000307288,9606.ENSP00000308024,9606.ENSP00000308208,9606.ENSP00000309096,9606.ENSP00000313601,9606.ENSP00000315644,9606.ENSP00000317721,9606.ENSP00000319814,9606.ENSP00000321703,9606.ENSP00000323889,9606.ENSP00000324105,9606.ENSP00000325017,9606.ENSP00000327145,9606.ENSP00000328547,9606.ENSP00000332449,9606.ENSP00000334153,9606.ENSP00000336775,9606.ENSP00000337451,9606.ENSP00000339917,9606.ENSP00000340292,9606.ENSP00000340507,9606.ENSP00000340896,9606.ENSP00000343158,9606.ENSP00000344504,9606.ENSP00000345344,9606.ENSP00000346120,9606.ENSP00000348381,9606.ENSP00000349259,9606.ENSP00000351209,9606.ENSP00000351807,9606.ENSP00000353246,9606.ENSP00000353793,9606.ENSP00000354040,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000356233,9606.ENSP00000357113,9606.ENSP00000357448,9606.ENSP00000357980,9606.ENSP00000358081,9606.ENSP00000358262,9606.ENSP00000358812,9606.ENSP00000358866,9606.ENSP00000359300,9606.ENSP00000360293,9606.ENSP00000361298,9606.ENSP00000362409,9606.ENSP00000363314,9606.ENSP00000363642,9606.ENSP00000363832,9606.ENSP00000364490,9606.ENSP00000364585,9606.ENSP00000366243,9606.ENSP00000366927,9606.ENSP00000367197,9606.ENSP00000367309,9606.ENSP00000368314,9606.ENSP00000369014,9606.ENSP00000369786,9606.ENSP00000370074,9606.ENSP00000370737,9606.ENSP00000370968,9606.ENSP00000371393,9606.ENSP00000371419,9606.ENSP00000373272,9606.ENSP00000376132,9606.ENSP00000377047,9606.ENSP00000377789,9606.ENSP00000377944,9606.ENSP00000378401,9606.ENSP00000378725,9606.ENSP00000378760,9606.ENSP00000381601,9606.ENSP00000381984,9606.ENSP00000392028,9606.ENSP00000395473,9606.ENSP00000395772,9606.ENSP00000398632,9606.ENSP00000399485,9606.ENSP00000405674,9606.ENSP00000409007,9606.ENSP00000413445,9606.ENSP00000414019,9606.ENSP00000416293,9606.ENSP00000418754,9606.ENSP00000418944,9606.ENSP00000419901,9606.ENSP00000423067,9606.ENSP00000428489,9606.ENSP00000432845,9606.ENSP00000435412,9606.ENSP00000436455,9606.ENSP00000438875,9606.ENSP00000439800,9606.ENSP00000440847,9606.ENSP00000443475,9606.ENSP00000445175,9606.ENSP00000446880,9606.ENSP00000452786,9606.ENSP00000456019,9606.ENSP00000460236,9606.ENSP00000463154,9606.ENSP00000467123,9606.ENSP00000468348,9606.ENSP00000472445,9606.ENSP00000480987,9606.ENSP00000482515,9606.ENSP00000482841,9606.ENSP00000483562,9606.ENSP00000484343,9606.ENSP00000488838,9606.ENSP00000490614,9606.ENSP00000494175,9606.ENSP00000497910,9606.ENSP00000498662,9606.ENSP00000500094","EPDR1,LGALS1,MCM5,NID2,VRK1,CTSH,PAG1,SFRP1,NAMPT,MSH2,CEBPZ,MSH6,GNG11,ACTN4,PXDN,SMARCC1,NASP,IGF2BP3,TMOD1,ITGAV,HEXB,MCM4,CNPY4,P2RX3,TUBB4A,MCM6,MCM2,CDH6,WDR70,IQGAP1,NUF2,POGZ,SFRP2,BHMT,MBNL1,IMPACT,PDLIM3,CA2,IGF2BP1,S100B,ALDH1A1,CRABP1,MAP1A,GPD1,FEN1,ALCAM,GLB1,MCM7,PCSK1,MMP14,B4GAT1,CC2D1A,TYMS,PIPOX,PCK1,TACC1,TRIM25,ENO3,NCAPD2,FLNC,DNMT3B,CRIP1,RFTN1,SYNM,EPHA3,TAF9B,DLK1,TRIM24,ASH2L,EPB41L3,H1-0,CTSL,DDX21,ADD3,SPTBN1,EPHA2,ELN,MAK16,WDHD1,GTPBP4,HEATR1,PARP1,KDM5B,IFI16,PBXIP1,HTRA1,BAG3,CHD1L,PDCD11,FLNA,CETN2,SORBS1,KIF2C,NIBAN2,LIN28A,BMS1,AOX1,ALDH4A1,RCC2,CEMIP2,ALDH1B1,SCGN,MAOB,NRCAM,NDNF,PIR,SERPINB9,GLDC,MYBBP1A,PGM2,PARP4,TRIM71,MYO1B,PTPRZ1,SYNPO,UTP14A,SPOCK1,KTN1,MVP,MX1,RPRD1A,CHD7,MAN2B1,GNL3,CD44,LY6H,NOL7,GDNF,KIAA1324L,GDPD2,SLC2A1,PTK7,PEG10,L1TD1,WDR36,PBK,MEX3A,RPS6KA1,NUCB2,NOVA1,ZMYND8,ZNF185,TUBA1C,LDHA,BAZ2A,ITGB3,SQOR,SPON1,ANP32E,NLRP7,MAP2K6,POLD1,MCM3,SPATS2L,CRABP2,SALL2,SERPINB6,PON2,DCX,HBB,B2M,LRRC4B,ATAD3B",8.16e-08,4e-04,"Binding"
"Function","GO:0003678",8,63,9606,"9606.ENSP00000216122,9606.ENSP00000262105,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000307288,9606.ENSP00000358262,9606.ENSP00000392028,9606.ENSP00000480987","MCM5,MCM4,MCM6,MCM2,MCM7,CHD1L,CHD7,MCM3",5.19e-07,0.00084,"DNA helicase activity"
"Function","GO:0008094",10,110,9606,"9606.ENSP00000216122,9606.ENSP00000233146,9606.ENSP00000234420,9606.ENSP00000262105,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000307288,9606.ENSP00000358262,9606.ENSP00000392028,9606.ENSP00000480987","MCM5,MSH2,MSH6,MCM4,MCM6,MCM2,MCM7,CHD1L,CHD7,MCM3",3.41e-07,0.00084,"ATP-dependent activity, acting on DNA"
"Function","GO:0050839",21,560,9606,"9606.ENSP00000252699,9606.ENSP00000261023,9606.ENSP00000265071,9606.ENSP00000268182,9606.ENSP00000274063,9606.ENSP00000308208,9606.ENSP00000313601,9606.ENSP00000323889,9606.ENSP00000349259,9606.ENSP00000351209,9606.ENSP00000358081,9606.ENSP00000358866,9606.ENSP00000362409,9606.ENSP00000366243,9606.ENSP00000368314,9606.ENSP00000376132,9606.ENSP00000377047,9606.ENSP00000378725,9606.ENSP00000418754,9606.ENSP00000445175,9606.ENSP00000452786","ACTN4,ITGAV,CDH6,IQGAP1,SFRP2,MMP14,CC2D1A,TRIM25,SPTBN1,EPHA2,BAG3,FLNA,NIBAN2,CEMIP2,NRCAM,MYO1B,PTPRZ1,KTN1,PTK7,LDHA,ITGB3",3.72e-07,0.00084,"Cell adhesion molecule binding"
"Function","GO:0140097",13,221,9606,"9606.ENSP00000216122,9606.ENSP00000233146,9606.ENSP00000234420,9606.ENSP00000262105,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000305480,9606.ENSP00000307288,9606.ENSP00000328547,9606.ENSP00000358262,9606.ENSP00000392028,9606.ENSP00000472445,9606.ENSP00000480987","MCM5,MSH2,MSH6,MCM4,MCM6,MCM2,FEN1,MCM7,DNMT3B,CHD1L,CHD7,POLD1,MCM3",6.68e-07,0.00084,"Catalytic activity, acting on DNA"
"Function","GO:0042393",13,252,9606,"9606.ENSP00000216639,9606.ENSP00000234420,9606.ENSP00000254480,9606.ENSP00000255120,9606.ENSP00000265056,9606.ENSP00000325017,9606.ENSP00000340507,9606.ENSP00000345344,9606.ENSP00000356233,9606.ENSP00000392028,9606.ENSP00000439800,9606.ENSP00000446880,9606.ENSP00000463154","VRK1,MSH6,SMARCC1,NASP,MCM2,NCAPD2,TRIM24,CTSL,KDM5B,CHD7,ZMYND8,BAZ2A,ANP32E",2.68e-06,0.0022,"Histone binding"
"Function","GO:0005515",102,7242,9606,"9606.ENSP00000199448,9606.ENSP00000215909,9606.ENSP00000216639,9606.ENSP00000220597,9606.ENSP00000220772,9606.ENSP00000222553,9606.ENSP00000233146,9606.ENSP00000234420,9606.ENSP00000248564,9606.ENSP00000252699,9606.ENSP00000252804,9606.ENSP00000254480,9606.ENSP00000255120,9606.ENSP00000259365,9606.ENSP00000261023,9606.ENSP00000261416,9606.ENSP00000262932,9606.ENSP00000263314,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000265071,9606.ENSP00000265107,9606.ENSP00000268182,9606.ENSP00000274063,9606.ENSP00000284202,9606.ENSP00000284767,9606.ENSP00000291700,9606.ENSP00000300231,9606.ENSP00000301149,9606.ENSP00000305988,9606.ENSP00000306920,9606.ENSP00000308024,9606.ENSP00000308208,9606.ENSP00000313601,9606.ENSP00000315644,9606.ENSP00000321703,9606.ENSP00000323889,9606.ENSP00000325017,9606.ENSP00000327145,9606.ENSP00000336775,9606.ENSP00000339917,9606.ENSP00000340507,9606.ENSP00000340896,9606.ENSP00000343158,9606.ENSP00000345344,9606.ENSP00000346120,9606.ENSP00000348381,9606.ENSP00000349259,9606.ENSP00000351209,9606.ENSP00000355759,9606.ENSP00000356233,9606.ENSP00000357113,9606.ENSP00000357448,9606.ENSP00000357980,9606.ENSP00000358081,9606.ENSP00000358812,9606.ENSP00000358866,9606.ENSP00000359300,9606.ENSP00000360293,9606.ENSP00000361298,9606.ENSP00000362409,9606.ENSP00000363314,9606.ENSP00000363832,9606.ENSP00000364490,9606.ENSP00000364585,9606.ENSP00000366243,9606.ENSP00000367309,9606.ENSP00000368314,9606.ENSP00000370074,9606.ENSP00000370737,9606.ENSP00000371419,9606.ENSP00000376132,9606.ENSP00000377047,9606.ENSP00000377789,9606.ENSP00000378725,9606.ENSP00000378760,9606.ENSP00000381601,9606.ENSP00000381984,9606.ENSP00000392028,9606.ENSP00000399485,9606.ENSP00000409007,9606.ENSP00000413445,9606.ENSP00000416293,9606.ENSP00000418754,9606.ENSP00000436455,9606.ENSP00000439800,9606.ENSP00000440847,9606.ENSP00000445175,9606.ENSP00000446880,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000463154,9606.ENSP00000467123,9606.ENSP00000468348,9606.ENSP00000472445,9606.ENSP00000482841,9606.ENSP00000484343,9606.ENSP00000488838,9606.ENSP00000490614,9606.ENSP00000494175,9606.ENSP00000497910,9606.ENSP00000498662","EPDR1,LGALS1,VRK1,PAG1,SFRP1,NAMPT,MSH2,MSH6,GNG11,ACTN4,PXDN,SMARCC1,NASP,TMOD1,ITGAV,HEXB,CNPY4,P2RX3,MCM6,MCM2,CDH6,WDR70,IQGAP1,SFRP2,IMPACT,PDLIM3,S100B,MAP1A,GPD1,ALCAM,GLB1,PCSK1,MMP14,CC2D1A,TYMS,TACC1,TRIM25,NCAPD2,FLNC,SYNM,TAF9B,TRIM24,ASH2L,EPB41L3,CTSL,DDX21,ADD3,SPTBN1,EPHA2,PARP1,KDM5B,IFI16,PBXIP1,HTRA1,BAG3,PDCD11,FLNA,CETN2,SORBS1,KIF2C,NIBAN2,LIN28A,AOX1,ALDH4A1,RCC2,CEMIP2,MAOB,NRCAM,SERPINB9,GLDC,PARP4,MYO1B,PTPRZ1,SYNPO,KTN1,MVP,MX1,RPRD1A,CHD7,LY6H,GDNF,KIAA1324L,SLC2A1,PTK7,NUCB2,ZMYND8,ZNF185,LDHA,BAZ2A,ITGB3,SPON1,ANP32E,NLRP7,MAP2K6,POLD1,CRABP2,SERPINB6,PON2,DCX,HBB,B2M,LRRC4B",1.79e-05,0.0126,"Protein binding"
"Function","GO:0003723",35,1672,9606,"9606.ENSP00000215909,9606.ENSP00000234170,9606.ENSP00000252699,9606.ENSP00000258729,9606.ENSP00000282486,9606.ENSP00000290341,9606.ENSP00000315644,9606.ENSP00000323889,9606.ENSP00000334153,9606.ENSP00000344504,9606.ENSP00000346120,9606.ENSP00000349259,9606.ENSP00000353246,9606.ENSP00000354040,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000357113,9606.ENSP00000358812,9606.ENSP00000358866,9606.ENSP00000363314,9606.ENSP00000363642,9606.ENSP00000364585,9606.ENSP00000370968,9606.ENSP00000373272,9606.ENSP00000377944,9606.ENSP00000378725,9606.ENSP00000395772,9606.ENSP00000405674,9606.ENSP00000418944,9606.ENSP00000419901,9606.ENSP00000423067,9606.ENSP00000432845,9606.ENSP00000438875,9606.ENSP00000446880,9606.ENSP00000482515","LGALS1,CEBPZ,ACTN4,IGF2BP3,MBNL1,IGF2BP1,TYMS,TRIM25,RFTN1,H1-0,DDX21,SPTBN1,MAK16,GTPBP4,HEATR1,PARP1,IFI16,PDCD11,FLNA,LIN28A,BMS1,RCC2,MYBBP1A,TRIM71,UTP14A,KTN1,GNL3,NOL7,PEG10,L1TD1,WDR36,MEX3A,NOVA1,BAZ2A,SPATS2L",3.09e-05,0.0184,"RNA binding"
"Function","GO:0004386",9,149,9606,"9606.ENSP00000216122,9606.ENSP00000262105,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000307288,9606.ENSP00000346120,9606.ENSP00000358262,9606.ENSP00000392028,9606.ENSP00000480987","MCM5,MCM4,MCM6,MCM2,MCM7,DDX21,CHD1L,CHD7,MCM3",2.99e-05,0.0184,"Helicase activity"
"Function","GO:0036094",46,2507,9606,"9606.ENSP00000216122,9606.ENSP00000216639,9606.ENSP00000233146,9606.ENSP00000234420,9606.ENSP00000252699,9606.ENSP00000262105,9606.ENSP00000263314,9606.ENSP00000264071,9606.ENSP00000264156,9606.ENSP00000265056,9606.ENSP00000297785,9606.ENSP00000299529,9606.ENSP00000301149,9606.ENSP00000307288,9606.ENSP00000315644,9606.ENSP00000317721,9606.ENSP00000319814,9606.ENSP00000337451,9606.ENSP00000346120,9606.ENSP00000351209,9606.ENSP00000354040,9606.ENSP00000355759,9606.ENSP00000358081,9606.ENSP00000358262,9606.ENSP00000361298,9606.ENSP00000363642,9606.ENSP00000363832,9606.ENSP00000366927,9606.ENSP00000367309,9606.ENSP00000370737,9606.ENSP00000376132,9606.ENSP00000381601,9606.ENSP00000392028,9606.ENSP00000395772,9606.ENSP00000418754,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000443475,9606.ENSP00000456019,9606.ENSP00000467123,9606.ENSP00000468348,9606.ENSP00000472445,9606.ENSP00000480987,9606.ENSP00000482841,9606.ENSP00000494175,9606.ENSP00000500094","MCM5,VRK1,MSH2,MSH6,ACTN4,MCM4,P2RX3,TUBB4A,MCM6,MCM2,ALDH1A1,CRABP1,GPD1,MCM7,TYMS,PIPOX,PCK1,EPHA3,DDX21,EPHA2,GTPBP4,PARP1,BAG3,CHD1L,KIF2C,BMS1,AOX1,ALDH1B1,MAOB,GLDC,MYO1B,MX1,CHD7,GNL3,PTK7,PBK,RPS6KA1,TUBA1C,SQOR,NLRP7,MAP2K6,POLD1,MCM3,CRABP2,HBB,ATAD3B",3.84e-05,0.0189,"Small molecule binding"
