"from","to","combined_score","gene1","logFC1","regulation1","gene2","logFC2","regulation2"
"9606.ENSP00000216122","9606.ENSP00000233146",631,"MCM5",2.29443634290801,"Up","MSH2",1.61384053105952,"Up"
"9606.ENSP00000216122","9606.ENSP00000233146",631,"MCM5",2.29443634290801,"Up","MSH2",1.61384053105952,"Up"
"9606.ENSP00000216122","9606.ENSP00000234420",749,"MCM5",2.29443634290801,"Up","MSH6",2.1487384795287,"Up"
"9606.ENSP00000216122","9606.ENSP00000234420",749,"MCM5",2.29443634290801,"Up","MSH6",2.1487384795287,"Up"
"9606.ENSP00000233146","9606.ENSP00000234420",999,"MSH2",1.61384053105952,"Up","MSH6",2.1487384795287,"Up"
"9606.ENSP00000233146","9606.ENSP00000234420",999,"MSH2",1.61384053105952,"Up","MSH6",2.1487384795287,"Up"
"9606.ENSP00000220166","9606.ENSP00000236671",846,"CTSH",-4.80921130535773,"Down","CTSD",-1.836189743255,"Down"
"9606.ENSP00000220166","9606.ENSP00000236671",846,"CTSH",-4.80921130535773,"Down","CTSD",-1.836189743255,"Down"
"9606.ENSP00000234420","9606.ENSP00000239690",634,"MSH6",2.1487384795287,"Up","NUDCD1",1.28635268815957,"Up"
"9606.ENSP00000234420","9606.ENSP00000239690",634,"MSH6",2.1487384795287,"Up","NUDCD1",1.28635268815957,"Up"
"9606.ENSP00000216286","9606.ENSP00000248564",409,"NID2",7.0753153279589,"Up","GNG11",-6.02181406288813,"Down"
"9606.ENSP00000216286","9606.ENSP00000248564",409,"NID2",7.0753153279589,"Up","GNG11",-6.02181406288813,"Down"
"9606.ENSP00000220166","9606.ENSP00000252804",445,"CTSH",-4.80921130535773,"Down","PXDN",2.04096122117763,"Up"
"9606.ENSP00000220166","9606.ENSP00000252804",445,"CTSH",-4.80921130535773,"Down","PXDN",2.04096122117763,"Up"
"9606.ENSP00000236671","9606.ENSP00000252804",503,"CTSD",-1.836189743255,"Down","PXDN",2.04096122117763,"Up"
"9606.ENSP00000236671","9606.ENSP00000252804",503,"CTSD",-1.836189743255,"Down","PXDN",2.04096122117763,"Up"
"9606.ENSP00000216122","9606.ENSP00000254480",407,"MCM5",2.29443634290801,"Up","SMARCC1",2.51668399222497,"Up"
"9606.ENSP00000216122","9606.ENSP00000254480",407,"MCM5",2.29443634290801,"Up","SMARCC1",2.51668399222497,"Up"
"9606.ENSP00000216122","9606.ENSP00000255120",664,"MCM5",2.29443634290801,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000216122","9606.ENSP00000255120",664,"MCM5",2.29443634290801,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000233146","9606.ENSP00000255120",450,"MSH2",1.61384053105952,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000233146","9606.ENSP00000255120",450,"MSH2",1.61384053105952,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000234420","9606.ENSP00000255120",422,"MSH6",2.1487384795287,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000234420","9606.ENSP00000255120",422,"MSH6",2.1487384795287,"Up","NASP",1.97470784076285,"Up"
"9606.ENSP00000252699","9606.ENSP00000261023",697,"ACTN4",-1.28294948102827,"Down","ITGAV",-2.40271144156678,"Down"
"9606.ENSP00000252699","9606.ENSP00000261023",697,"ACTN4",-1.28294948102827,"Down","ITGAV",-2.40271144156678,"Down"
"9606.ENSP00000216122","9606.ENSP00000262105",999,"MCM5",2.29443634290801,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000216122","9606.ENSP00000262105",999,"MCM5",2.29443634290801,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000233146","9606.ENSP00000262105",606,"MSH2",1.61384053105952,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000233146","9606.ENSP00000262105",606,"MSH2",1.61384053105952,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000234420","9606.ENSP00000262105",735,"MSH6",2.1487384795287,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000234420","9606.ENSP00000262105",735,"MSH6",2.1487384795287,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000255120","9606.ENSP00000262105",599,"NASP",1.97470784076285,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000255120","9606.ENSP00000262105",599,"NASP",1.97470784076285,"Up","MCM4",2.19859522474759,"Up"
"9606.ENSP00000215909","9606.ENSP00000262776",826,"LGALS1",-1.74082760173686,"Down","LGALS3BP",-2.47926307988359,"Down"
"9606.ENSP00000215909","9606.ENSP00000262776",826,"LGALS1",-1.74082760173686,"Down","LGALS3BP",-2.47926307988359,"Down"
"9606.ENSP00000236671","9606.ENSP00000262776",486,"CTSD",-1.836189743255,"Down","LGALS3BP",-2.47926307988359,"Down"
"9606.ENSP00000236671","9606.ENSP00000262776",486,"CTSD",-1.836189743255,"Down","LGALS3BP",-2.47926307988359,"Down"
"9606.ENSP00000220597","9606.ENSP00000262995",568,"PAG1",-3.12333261310037,"Down","GAB1",-3.3682337980938,"Down"
"9606.ENSP00000220597","9606.ENSP00000262995",568,"PAG1",-3.12333261310037,"Down","GAB1",-3.3682337980938,"Down"
