"Gene","Module","logFC","Regulation"
"MCM5",1,2.29443634290801,"Up"
"MSH2",1,1.61384053105952,"Up"
"CTSH",2,-4.80921130535773,"Down"
"MSH6",1,2.1487384795287,"Up"
"NID2",2,7.0753153279589,"Up"
"CTSD",2,-1.836189743255,"Down"
"ACTN4",3,-1.28294948102827,"Down"
"NASP",1,1.97470784076285,"Up"
"LGALS1",3,-1.74082760173686,"Down"
"PAG1",3,-3.12333261310037,"Down"
"MCM4",1,2.19859522474759,"Up"
"MCM6",1,2.42476245356445,"Up"
"NUDCD1",4,1.28635268815957,"Up"
"VRK1",1,3.1149538463983,"Up"
"IGF2BP3",4,1.98648082829633,"Up"
"MCM2",1,2.31457617353852,"Up"
"PXDN",3,2.04096122117763,"Up"
"IQGAP1",3,-1.83437327487008,"Down"
"SFRP2",5,8.50242908328823,"Up"
"ALDH1A1",5,2.33420106470673,"Up"
"NUF2",1,2.86000226206062,"Up"
"ITGAV",3,-2.40271144156678,"Down"
"S100B",3,-7.5889011004542,"Down"
"HEXB",2,-1.75671944934123,"Down"
"SMARCC1",1,2.51668399222497,"Up"
"FEN1",1,1.36422022559405,"Up"
"BHMT",5,2.43031832253942,"Up"
"MCM7",1,2.22890914351426,"Up"
"PLIN2",6,3.46324897025231,"Up"
"GPD1",6,-6.06402033705579,"Down"
"PCK1",6,-2.2227987454888,"Down"
"TYMS",1,3.55156187705887,"Up"
"TMOD1",6,-4.62482677128474,"Down"
"PDLIM3",3,-3.69473370572985,"Down"
"SFRP1",4,3.58044735760624,"Up"
"FLNC",3,-2.13168156495351,"Down"
"GPC2",3,1.97951922549351,"Up"
"DNMT3B",4,6.01345632690522,"Up"
"TRIM25",7,-1.86754074126201,"Down"
"CRABP1",5,4.26746355065436,"Up"
"CEBPZ",7,2.04018894317091,"Up"
"EPB41L3",3,-2.23767859758414,"Down"
"ADD3",6,-1.65606832849955,"Down"
"MMP14",3,-3.4451590413632,"Down"
"EPHA3",3,1.31524283207129,"Up"
"GLB1",2,-1.57241693184646,"Down"
"CTSL",2,-1.5010106055816,"Down"
"DDX21",7,1.8179619640756,"Up"
"NCAPD2",1,3.01225466890781,"Up"
"CA2",3,-1.92652397456665,"Down"
"MAK16",7,1.24403268508266,"Up"
"GTPBP4",7,1.32515076011,"Up"
"NAMPT",1,-1.75045049217845,"Down"
"MAP1A",2,-1.59121403648739,"Down"
"PCSK1",1,-3.29632314515717,"Down"
"H1F0",1,2.9465011310328,"Up"
"ASH2L",5,1.1975700467186,"Up"
"PARP1",1,1.82776194392768,"Up"
"ENO3",6,2.91941256695942,"Up"
"HEATR1",7,1.4583898974138,"Up"
"KDM5B",5,1.65857390363372,"Up"
"IFI16",7,1.6062926149136,"Up"
"SYNM",3,-4.89865903597991,"Down"
"BAG3",3,-1.87715975444107,"Down"
"CHD1L",4,4.08912361468338,"Up"
"WDHD1",1,6.56220189804661,"Up"
"ELN",2,-2.33705872627172,"Down"
"IGF2BP1",4,2.89099883569171,"Up"
"TAF9B",7,1.84131913330834,"Up"
"PDCD11",7,1.59807949628481,"Up"
"PIPOX",5,-3.2227707035372,"Down"
"KIF2C",1,4.38875153118943,"Up"
"AKR1B10",5,-3.84238239180838,"Down"
"ALDH4A1",5,-3.05842588568318,"Down"
"AOX1",5,3.24420266543563,"Up"
"ALDH1B1",5,1.51453677608274,"Up"
"NTN1",3,-4.92827243900674,"Down"
"SPTBN1",3,-1.46441381721659,"Down"
"EPHA2",3,2.02757629173175,"Up"
"PLXNA4",3,-4.35781781895357,"Down"
"BMS1",7,1.5639426724788,"Up"
"FUCA1",2,-4.13581700593593,"Down"
"LIN28A",4,7.53158762850958,"Up"
"ALCAM",3,-6.18601051823209,"Down"
"NRCAM",3,-1.32993624108212,"Down"
"MYBBP1A",7,1.23513051205804,"Up"
"REEP5",5,-1.3148572763917,"Down"
"PARP4",1,-3.03795486482129,"Down"
"CTSA",2,-2.52778684223702,"Down"
"UTP14A",7,1.63530544759718,"Up"
"LGALS3BP",3,-2.47926307988359,"Down"
"FLNA",3,-1.82625663283788,"Down"
"CD99",3,-1.69189599805002,"Down"
"SPOCK1",3,2.32155090301087,"Up"
"GAB1",3,-3.3682337980938,"Down"
"P2RX3",3,3.98104918788085,"Up"
"MAOB",5,-4.05110720139034,"Down"
"TUBB4A",6,2.38897984885412,"Up"
"PGM2",6,-1.16106127486583,"Down"
"CD44",3,-4.81835793768906,"Down"
"DLK1",4,-3.46419773722523,"Down"
"GNL3",7,1.55953099355204,"Up"
"NOL7",7,3.1247298792964,"Up"
"MBNL1",8,-3.07183178796938,"Down"
"GLDC",5,1.6409533496592,"Up"
"SLC2A1",6,6.12151942413335,"Up"
"PTPRZ1",3,-1.74210444961388,"Down"
"COX6C",9,-2.10588266916286,"Down"
"CETN2",1,-2.42413872178852,"Down"
"PPP2R1B",1,2.84091673228343,"Up"
"RCC2",1,1.70358137228985,"Up"
"PBK",1,3.52763588774929,"Up"
"POLD1",1,2.35845410469772,"Up"
"GDNF",3,3.59441931208912,"Up"
"LDHA",6,2.31764670482714,"Up"
"MX1",7,5.26816697981489,"Up"
"GNG11",2,-6.02181406288813,"Down"
"LIPA",6,4.14362901123363,"Up"
"TRIM24",7,1.3953292178487,"Up"
"HS3ST3B1",3,4.2318207138589,"Up"
"SORBS1",3,-1.3963110310242,"Down"
"TRIM71",4,5.20841125290168,"Up"
"MYO1B",3,2.3411394505591,"Up"
"SYNPO",3,-5.65789837446593,"Down"
"KTN1",5,-1.4330526178201,"Down"
"MVP",1,-2.35776130988896,"Down"
"RPRD1A",1,1.52363389806446,"Up"
"CHD7",5,2.77003420887434,"Up"
"MAN2B1",2,-2.49795265425696,"Down"
"GDPD2",6,-4.64799428464958,"Down"
"PTK7",4,-1.19721890368638,"Down"
"PEG10",4,-2.46898025244806,"Down"
"L1TD1",4,4.91335561860655,"Up"
"WDR36",7,2.01549223438529,"Up"
"MEX3A",4,1.15997071055335,"Up"
"RPS6KA1",3,4.6345669070893,"Up"
"NOVA1",8,-1.41299223569018,"Down"
"TUBA1C",6,3.63528474201856,"Up"
"BAZ2A",4,2.97449440624965,"Up"
"ITGB3",3,-4.86952258743549,"Down"
"SQRDL",5,-5.08898589052486,"Down"
"SPON1",3,-6.38629173463945,"Down"
"ANP32E",1,1.42058297419534,"Up"
"COX6B1",9,-2.19949477397995,"Down"
"NLRP7",7,4.16918270352628,"Up"
"EPHX1",5,-2.24371737579944,"Down"
"MCM3",1,2.16215222676061,"Up"
"SPATS2L",7,-2.49365567336802,"Down"
"CRABP2",5,5.80543748878216,"Up"
"DCX",3,1.74241997455153,"Up"
"HBB",6,1.8429801380645,"Up"
"CRYBB1",3,4.68670845726762,"Up"
"RTL1",4,-3.2820064994607,"Down"
"B2M",1,-2.08952349009672,"Down"
