"Gene","Degree","Betweenness","Closeness","logFC","adj.P.Val","Regulation"
"PARP1",64,2912.73955099979,0.00305810397553517,1.82776194392768,0.00072238331459379,"Up"
"CD44",48,2412.62368240033,0.00297619047619048,-4.81835793768906,0.00050089363610913,"Down"
"MCM7",46,543.463261800462,0.0026246719160105,2.22890914351426,0.00092302595615506,"Up"
"TYMS",46,1085.29918233457,0.00267379679144385,3.55156187705887,0.00072238331459379,"Up"
"MCM5",44,160.595548837539,0.0025062656641604,2.29443634290801,0.00062655494495664,"Up"
"MCM3",42,238.293226502804,0.00247524752475248,2.16215222676061,0.00059388626304023,"Up"
"MCM2",40,94.2971761728242,0.00248138957816377,2.31457617353852,0.00050089363610913,"Up"
"MSH2",38,270.169072131086,0.0025,1.61384053105952,0.00118384621232131,"Up"
"MCM6",38,265.858298538754,0.00248138957816377,2.42476245356445,0.00154981862935458,"Up"
"PXDN",38,1559.40208154708,0.00285714285714286,2.04096122117763,0.00138690355393644,"Up"
"FEN1",38,42.8844691064282,0.00244498777506112,1.36422022559405,0.00137558007501837,"Up"
"MSH6",36,340.594282468501,0.00251889168765743,2.1487384795287,0.00059388626304023,"Up"
"MCM4",36,43.9417380974138,0.00245098039215686,2.19859522474759,0.00058086694163532,"Up"
"NUF2",34,104.612999852718,0.00232018561484919,2.86000226206062,0.00139398664482894,"Up"
"NCAPD2",32,30.2309926795555,0.00238095238095238,3.01225466890781,0.00154981862935458,"Up"
"WDHD1",32,19.0237092040428,0.00223214285714286,6.56220189804661,0.00099076920892175,"Up"
"NASP",30,20.9541993013602,0.0022883295194508,1.97470784076285,0.00088441957074534,"Up"
"KIF2C",30,120.327063163171,0.00216450216450216,4.38875153118943,0.00092302595615506,"Up"
"DDX21",28,855.526861075002,0.0023696682464455,1.8179619640756,0.00099076920892175,"Up"
"PDCD11",28,645.995176943069,0.00221238938053097,1.59807949628481,0.00129866485181855,"Up"
"POLD1",28,11.2838624439558,0.00238663484486874,2.35845410469772,0.00110857471779369,"Up"
"ELN",26,521.902114905587,0.00246913580246914,-2.33705872627172,0.00074200280843595,"Down"
"BMS1",26,205.626434955409,0.00191938579654511,1.5639426724788,0.00152788296542589,"Up"
"PBK",26,9.04383100351716,0.0021505376344086,3.52763588774929,0.00137558007501837,"Up"
"IQGAP1",24,568.866573027038,0.0024330900243309,-1.83437327487008,0.00078490836024926,"Down"
"FLNA",24,414.217430255698,0.0024330900243309,-1.82625663283788,0.00059388626304023,"Down"
"GTPBP4",22,94.5578611804383,0.00195694716242661,1.32515076011,0.00130793298548059,"Up"
"UTP14A",22,31.7439661259747,0.00190114068441065,1.63530544759718,0.00161325945093859,"Up"
"GNL3",22,7.775,0.00191204588910134,1.55953099355204,0.00152071901154652,"Up"
"WDR36",22,31.7439661259747,0.00190114068441065,2.01549223438529,0.00059388626304023,"Up"
"ITGB3",22,339.609994532574,0.0024330900243309,-4.86952258743549,0.00154981862935458,"Down"
"B2M",22,359.395241647035,0.00263852242744063,-2.08952349009672,0.00099076920892175,"Down"
"ALDH1A1",20,746.780096227765,0.00235294117647059,2.33420106470673,0.00072238331459379,"Up"
"DNMT3B",20,694.474159224439,0.00231481481481481,6.01345632690522,0.00050089363610913,"Up"
"CEBPZ",20,0.25,0.00189753320683112,2.04018894317091,0.00132066086370101,"Up"
"HEATR1",20,31.1606327926414,0.00189753320683112,1.4583898974138,0.00167301459527908,"Up"
