Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
A0A024R1R8;Q9Y2S6,A0A024R1R8;Q9Y2S6,hCG_2014768;TMA7,Translation machinery-associated protein 7,1,14.1,7.0913
P0DN26;A0A075B759;Q9Y536;F5H284;A0A0B4J2A2;A0A075B767;P0DN37,P0DN26;A0A075B759;Q9Y536;F5H284;A0A0B4J2A2;A0A075B767;P0DN37,PPIAL4E;PPIAL4A;PPIAL4D;PPIAL4C,Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A-like 4A/B/C;Peptidyl-prolyl cis-trans isomerase A-like 4D,4,37.2,18.197
A0A087X1C1;P0CG35;P0CG34,A0A087X1C1;P0CG35;P0CG34,TMSB15B;TMSB15A,Thymosin beta-15B;Thymosin beta-15A,1,13.8,9.0792
B7ZL25;A0A140TA45;A0A140TA40;A0A0A0MTG1;Q5ST30,B7ZL25;A0A140TA45;A0A140TA40;A0A0A0MTG1;Q5ST30,VARS2,"Valine--tRNA ligase, mitochondrial",5,5.8,118.37
P0DPI2;A0A0B4J2D5,P0DPI2;A0A0B4J2D5,,,15,72.8,28.17
A0A0B4J2E5;Q15269,A0A0B4J2E5;Q15269,PWP2,Periodic tryptophan protein 2 homolog,1,3.2,102.45
A0A0B4J2F2;P57059,A0A0B4J2F2;P57059,LOC102724428;SIK1,Serine/threonine-protein kinase SIK1,3,3.4,84.929
A0A0M3HER8;A6NEM1;A6NEY3;A6NI86;H0YKK7;A6NEF3,A0A0M3HER8;A6NEM1;A6NEY3;A6NI86;H0YKK7;A6NEF3,GOLGA6L9;GOLGA6L3;GOLGA6L10;GOLGA6L19;GOLGA6L4,Golgin subfamily A member 6-like protein 9;Putative golgin subfamily A member 6-like protein 3;Putative golgin subfamily A member 6-like protein 10;Putative golgin subfamily A member 6-like protein 19;Putative golgin subfamily A member 6-like protein 4,2,5.2,62.799
A0A0U1RRI6;P0DPI3;A0A0U1RR11,A0A0U1RRI6;P0DPI3;A0A0U1RR11,,,3,11.5,31.261
A0A2R8YFR7;Q12774,A0A2R8YFR7;Q12774,ARHGEF5,Rho guanine nucleotide exchange factor 5,1,0.5,164.06
A0A3B3IRV3,A0A3B3IRV3,,,6,46.4,20.343
A0AVF1,A0AVF1,TTC26,Intraflagellar transport protein 56,1,2.3,64.177
A0AVT1,A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,35,45.0,117.97
A0FGR8,A0FGR8,ESYT2,Extended synaptotagmin-2,19,27.5,102.36
A0JNW5,A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,3,3.3,164.2
P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6;B9A064,P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6;B9A064,IGLC1;IGLC6;IGLC7;IGLL5,Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region;Immunoglobulin lambda-like polypeptide 5,1,14.2,11.265
A0MZ66,A0MZ66,KIAA1598,Shootin-1,18,36.5,71.639
A0PJW6,A0PJW6,TMEM223,Transmembrane protein 223,2,8.4,22.049
A1KXE4,A1KXE4,FAM168B,Myelin-associated neurite-outgrowth inhibitor,1,9.2,20.324
A1L020,A1L020,MEX3A,RNA-binding protein MEX3A,5,19.2,54.173
A1L0T0,A1L0T0,ILVBL,Acetolactate synthase-like protein,11,24.4,67.867
A1L170,A1L170,C1orf226,Uncharacterized protein C1orf226,2,11.8,29.057
A1L188,A1L188,C17orf89,Uncharacterized protein C17orf89,1,17.6,7.7558
A1X283;Q5TCZ1,A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,22,29.1,101.58
A2RRP1,A2RRP1,NBAS,Neuroblastoma-amplified sequence,29,15.5,268.57
A2RTX5,A2RTX5,TARSL2,"Probable threonine--tRNA ligase 2, cytoplasmic",5,6.9,92.644
A2RUC4,A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,3,11.4,36.547
A3KMH1,A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,15,9.4,214.82
A3KN83;Q9Y2G9,A3KN83,SBNO1,Protein strawberry notch homolog 1,4,3.9,154.31
A4D1E9,A4D1E9,GTPBP10,GTP-binding protein 10,7,24.3,42.932
A4D1P6,A4D1P6,WDR91,WD repeat-containing protein 91,11,20.2,83.343
A4D1S0,A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2,2,7.3,42.85
A4D1U4,A4D1U4,LCHN,Protein LCHN,1,2.4,51.445
Q8NCF0;A5D8T8;Q6UXF7,Q8NCF0;A5D8T8;Q6UXF7,CLEC18C;CLEC18A;CLEC18B,C-type lectin domain family 18 member C;C-type lectin domain family 18 member A;C-type lectin domain family 18 member B,1,4.9,49.585
A5D8V6,A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C,1,3.4,38.658
A5PLN9,A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,2,7.0,46.523
A5YKK6,A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,30,15.6,266.94
Q9GZQ8;A6NCE7,Q9GZQ8;A6NCE7,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,5,32.0,14.688
A6NCS4,A6NCS4,NKX2-6,Homeobox protein Nkx-2.6,2,4.7,32.121
A6NDG6,A6NDG6,PGP,Phosphoglycolate phosphatase,4,17.1,34.006
A6NDU8,A6NDU8,C5orf51,UPF0600 protein C5orf51,6,28.2,33.62
A6NE02,A6NE02,BTBD17,BTB/POZ domain-containing protein 17,2,6.5,52.47
A6NED2,A6NED2,RCCD1,RCC1 domain-containing protein 1,2,7.2,40.078
A6NFI3,A6NFI3,ZNF316,Zinc finger protein 316,1,1.6,108.44
A6NHQ2,A6NHQ2,FBLL1,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,4,17.4,34.803
A6NHR9,A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,34,22.2,226.37
A6NIH7,A6NIH7,UNC119B,Protein unc-119 homolog B,5,31.1,28.136
A6NJ46;Q9C056;P78426,A6NJ46;Q9C056;P78426,NKX6-3;NKX6-2;NKX6-1,Homeobox protein Nkx-6.3;Homeobox protein Nkx-6.2;Homeobox protein Nkx-6.1,1,4.9,28.948
