Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
B7ZL25;A0A140TA45;A0A140TA40;A0A0A0MTG1;Q5ST30,VARS2,"Valine--tRNA ligase, mitochondrial",-2.524509865190552,-2.228757444773919,-2.284282295969639,-1.6185476451445169,-1.8406285219206282,-1.7771246765106525
P0DPI2;A0A0B4J2D5,,,3.479665536435153,3.09346009491685,3.8191075477921537,2.584721341024675,2.521305013675697,2.80018901977693
A0A0B4J2F2;P57059,LOC102724428;SIK1,Serine/threonine-protein kinase SIK1,-1.7437465131865615,-1.676120855860649,-2.172146264824633,-1.662538651600066,-3.7899099764155046,-3.810955297404219
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,3.7947425347290356,3.394144481595511,3.3534669144815688,3.8238481071367154,3.974351547205785,3.6289096402077057
A0FGR8,ESYT2,Extended synaptotagmin-2,1.7448700697242145,1.6618548548441936,1.9208374069002332,0.2272310315901862,-0.10565207501508311,0.2733081125822565
A0MZ66,KIAA1598,Shootin-1,2.151006776752393,2.133979249805506,1.8520703519860326,1.0826666677520578,1.289692903569403,0.9528918922339322
A1L020,MEX3A,RNA-binding protein MEX3A,-1.9981223112610493,-1.9214836543203262,-2.031923808433305,-0.7620803688904587,-0.8097689881020571,-0.8997682853621107
A1L0T0,ILVBL,Acetolactate synthase-like protein,-0.45261683643690276,-0.2427187781555986,-0.19315020672762273,-0.6401501295920831,-1.0024930116018034,-0.7823729327939404
A1L170,C1orf226,Uncharacterized protein C1orf226,-3.849100492505437,-2.496447835310871,-3.195343236250139,-3.4585830307678407,-3.2070301407459496,-4.286288117328367
A1X283;Q5TCZ1,SH3PXD2B,SH3 and PX domain-containing protein 2B,3.182448459613177,3.1606401328143434,2.778711894877272,2.4897035958201883,2.553028200610431,2.449313388293117
A2RRP1,NBAS,Neuroblastoma-amplified sequence,0.8561332311622287,0.9469781064734519,0.9331738805476064,1.1498415385998904,0.9615931594902634,0.9406560317149832
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,-1.217436680583262,-3.7884535996202886,-1.1705233306057892,-3.788936844145243,-4.262286171722464,-2.6682558013713837
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,-0.41501462130699807,-0.4183818263660868,-0.4990201532615437,-0.4898388161562579,-0.5739060610520248,-0.4865142375524094
A3KN83;Q9Y2G9,SBNO1,Protein strawberry notch homolog 1,-4.331647793886213,-4.192907992362219,-3.84237911806577,-3.6295112157392353,-2.934168385216683,-3.405011741945291
A4D1E9,GTPBP10,GTP-binding protein 10,-2.549580767656998,-2.342606228416237,-2.074558684348652,-1.6672922495794644,-1.5319608204727366,-1.6699111382169782
A4D1P6,WDR91,WD repeat-containing protein 91,-1.0385648818766775,-1.4821974409581848,-1.5976912239167333,-2.1231441041282864,-1.948311856422773,-2.165997018172302
A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2,-3.7343685962927635,-4.26237927793097,-4.324164245486007,-3.475816599383407,-3.8726469061219255,-3.628113716544213
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,1.3951193292949249,1.1915831277303397,1.396442528236829,1.8170346010638383,1.7304935491900757,1.834601288834289
Q9GZQ8;A6NCE7,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,3.725987608695654,3.4571225364616183,3.436191424482299,3.091194122921852,2.7955729173963277,2.776827729273201
A6NDG6,PGP,Phosphoglycolate phosphatase,-1.0825968016570648,-1.125850295689748,-1.079377950455676,-0.4942775965005666,-0.740490785839949,-0.8580921106569619
A6NDU8,C5orf51,UPF0600 protein C5orf51,0.9702461949702119,0.6278742474513272,0.5044825937083388,0.13503876268972448,0.15282897640114257,0.4406991387602375
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1.5727288586091177,1.4003456116642532,1.6529972781843938,2.6456697049031135,2.473395029085218,2.6679442490823995
A6NIH7,UNC119B,Protein unc-119 homolog B,-0.697579885594763,-0.5787288319408965,-1.0199901404193312,-1.1289418990686677,-1.105109283594782,-1.1782151005963009
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,-4.000506448008135,-3.6757716064128383,-3.727828438623942,-4.265955481534174,-4.450835398370643,-4.139745433229475
A6NKG5,RTL1,Retrotransposon-like protein 1,1.2048409276746135,1.0569401071715525,0.8635498674054176,-2.154796307827038,-2.0542763415557737,-2.511615946747689
A6NMB9,FIGNL2,Putative fidgetin-like protein 2,-3.0691592680799538,-3.022447504941844,-3.063669795446196,-3.7511044224284227,-3.2442519939047685,-4.0445907451871825
A8CG34;Q96HA1;Q6PJE2;A6NF01,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,-2.527906672858119,-1.9278081308977768,-1.8820854768184248,-2.0539924535352547,-2.146558306053315,-2.620760986368886
Q9NQA3;C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3,WASH6P;WASH3P;WASH2P;WASH1;WASH4P,WAS protein family homolog 6;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;Putative WAS protein family homolog 4,-0.01925784627253435,-0.3189215319503518,-0.3821467116520729,-0.16210548916404832,-0.43972597133876334,-0.8888698039842495
A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7,-2.8880213342659964,-3.3489240123920396,-2.7641426396824755,-3.5523527218283064,-3.6775963929425153,-3.6979387379789266
A8MVW0,FAM171A2,Protein FAM171A2,-3.2204048088364026,-4.333947523950119,-4.396919359010315,-4.262002273938598,-2.9873857454510286,-2.7868667600220007
A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like,-4.404518004473234,-4.333935270298515,-4.396906902147628,-2.088279807381987,-2.0823903474481398,-2.146176849225217
A8MXV4,NUDT19,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",-2.8498050109676747,-2.786435904348707,-2.302076700419761,-3.6764593862099306,-2.6726370467697045,-2.613525772214107
B1AK53,ESPN,Espin,-0.6696082810172115,-0.019853463046487718,-0.47529155326794736,-1.1216269318866452,-0.9850375527003941,-3.042674839674096
B2RTY4,MYO9A,Unconventional myosin-IXa,-2.5631727411831093,-1.6913400466788069,-1.4476010222345685,-1.0114861040113254,-1.514703672627025,-1.638312115134962
C9JLW8,FAM195B,Protein FAM195B,-0.2176918844148652,-0.6530158927550254,-0.17369472213708548,-1.7526330482778008,-2.194592956279749,-1.809319338422597
E9PAV3;Q9H009,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",4.110044958529599,4.134720336476757,3.8792973505489243,4.527284846579995,4.743838647855348,4.236504011519489
H3BP13;Q9UL33,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein,-2.4351384030857304,-2.3356256994749174,-2.2914536196398707,-2.5241288521882908,-2.071773347475208,-2.369342233477134
M5A8F1,ERVH48-1,Suppressyn,-4.404505527904051,-2.9805145120579324,-3.021041397694675,-3.3609135105502688,-2.58879510250517,-3.2800800423994154
O00115,DNASE2,Deoxyribonuclease-2-alpha,1.3299280418568493,1.0473056811916734,1.683606460109182,-0.4813691386306864,-1.3119515068452152,-0.740604561273269
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",2.550429462088406,2.3629857189076624,2.564190746318797,2.243012042032948,2.1852756212772633,2.150109377862897
O00139,KIF2A,Kinesin-like protein KIF2A,1.5082443480490042,1.446608382199372,1.7610485533183216,1.5471693466110423,1.4311539887587337,1.3068750553619388
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,0.1899513447961354,-0.4172516985988928,-0.610962617960709,1.7276052686104393,1.573322796683108,1.7448693514063827
O00151,PDLIM1,PDZ and LIM domain protein 1,-0.0023331259392911363,0.03960222854581019,-0.1583625828108417,-0.530858091464534,-0.5348268252414989,-1.084131381777091
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,3.8455645133721,3.595390760921635,3.6090655038510775,4.225228577268066,4.252525303004614,4.157526457692377
O00159,MYO1C,Unconventional myosin-Ic,-0.89280070658236,-0.6091769245811385,-1.1399966575124338,-0.2948642364400129,-0.4644853587009088,-0.30000882452190325
O00161,SNAP23,Synaptosomal-associated protein 23,-0.3079231251894967,-0.18129257122254927,-0.320568968081119,-0.48063498941358773,-0.719155872423201,-0.14322011285768355
O00170,AIP,AH receptor-interacting protein,1.2197256442142823,1.1802276576661832,0.8237339662404999,1.423004093714546,1.5265898285203043,0.9860649433555473
O00178,GTPBP1,GTP-binding protein 1,0.49185764757416095,0.36821323858203314,0.49346574529023,0.670110594980958,0.7812605217060913,0.8754659516177092
O00186,STXBP3,Syntaxin-binding protein 3,1.4522893048111492,1.5471623447934988,1.5407106785781899,0.8296310863965992,0.7990202461761697,0.954966464918936
O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,0.5270188772953084,0.6674174063268588,0.9479102063365765,0.198755117670256,0.04534643444424091,0.13766223174015835
O00193,SMAP,Small acidic protein,0.7916464544491362,0.8657464934079222,0.6129271693195406,0.6443452660700473,1.1533960674354518,0.8362258392792263
O00203,AP3B1,AP-3 complex subunit beta-1,1.935247709899027,2.0742420995686928,1.8075102651554715,1.850876042857788,1.7016252499622553,1.8489554843416194
O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1,-2.1399023474772925,-2.0184948015696342,-2.6399518389078906,-1.6374677714175014,-1.4388879001531656,-1.7952800234974546
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1.2902201088416163,1.631680284683533,1.583012162385458,1.0533441825633432,1.434237570073094,1.743591124733527
