Protein_IDs,Gene_names,Protein_names,logFC,AveExpr,mean_3P,mean_SIC,t,P.Value,adj.P.Val,B,Significant,Regulation,FoldChange,Mitochondrial,Top_Pathways
Q8TB73,NDNF,Protein NDNF,6.565243442139611,-1.1371045161961593,-4.419726237265965,2.1455172048736464,50.07134563233776,6.004866759390383e-08,0.0001929605130845,-0.5679886838091234,True,Up,94.69677849495818,False,
P29373,CRABP2,Cellular retinoic acid-binding protein 2,5.805437488782162,1.029321632239362,-1.873397112151719,3.932040376630443,47.95933429115844,7.445900562785823e-08,0.0001929605130845,-0.7277870058166244,True,Up,55.92562188331546,False,
O15061,SYNM,Synemin,-4.898659035979911,0.8840228381520335,3.333352356141989,-1.5653066798379218,-39.30895834950928,2.0083505458678985e-07,0.0003469760293077,-0.6696519379502589,True,Down,0.0335240663585273,False,
Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,2.8909988356917053,4.269681425205386,2.8241820073595334,5.715180843051239,32.42090806848478,5.245190632940933e-07,0.0005008936361091,-1.3390729898398497,True,Up,7.417838385011161,False,
Q9H9Z2,LIN28A,Protein lin-28 homolog A,7.531587628509579,-0.6532561898774019,-4.419050004132191,3.1125376243773872,31.051068521201795,6.502900513627452e-07,0.0005008936361091,0.6622752190620744,True,Up,185.0264392703059,False,
Q9HCM2,PLXNA4,Plexin-A4,-4.357817818953568,-2.605185445144689,-0.4262765356679049,-4.784094354621473,-30.620980074369665,6.970414316853635e-07,0.0005008936361091,-0.4040979906611801,True,Down,0.0487715009031956,False,
P50238,CRIP1,Cysteine-rich protein 1,4.986427329223716,-1.7974288072478757,-4.290642471859734,0.6957848573639822,29.625576828667505,8.216420717133133e-07,0.0005008936361091,-0.0685068256275396,True,Up,31.700360222943846,False,
O94772,LY6H,Lymphocyte antigen 6H,-5.230858060532221,0.0691181537089113,2.6845471839750217,-2.546310876557199,-29.04967664206199,9.059393575316932e-07,0.0005008936361091,0.0664658955782954,True,Down,0.0266289977346098,False,
P49736,MCM2,DNA replication licensing factor MCM2,2.314576173538516,1.4389210765072509,0.281632989737993,2.5962091632765087,27.698710032807487,1.148048483612385e-06,0.0005008936361091,-1.4689885605840127,True,Up,4.974584994198233,False,
A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like,2.272837724288011,-3.2420345301624534,-4.378453392306459,-2.105615668018448,27.563551298342563,1.176312850015293e-06,0.0005008936361091,-1.495600350071028,True,Up,4.832727753167287,False,
P16070,CD44,CD44 antigen,-4.818357937689059,1.4262174946456796,3.835396463490209,-0.9829614741988498,-27.317654448189614,1.2299051346253975e-06,0.0005008936361091,0.0251299742751305,True,Down,0.0354429392960179,False,
P50453,SERPINB9,Serpin B9,4.577092701377477,2.051787480875374,-0.2367588698133644,4.340333831564113,27.02507899469618,1.297534561794933e-06,0.0005008936361091,-0.0560726022470844,True,Up,23.869438125206425,False,
