Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
A0A024R1R8;Q9Y2S6,hCG_2014768;TMA7,Translation machinery-associated protein 7,3228200,0,0,0,0,0
P0DN26;A0A075B759;Q9Y536;F5H284;A0A0B4J2A2;A0A075B767;P0DN37,PPIAL4E;PPIAL4A;PPIAL4D;PPIAL4C,Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A-like 4A/B/C;Peptidyl-prolyl cis-trans isomerase A-like 4D,0,11527000,0,0,0,0
A0A087X1C1;P0CG35;P0CG34,TMSB15B;TMSB15A,Thymosin beta-15B;Thymosin beta-15A,0,0,0,0,0,29222000
B7ZL25;A0A140TA45;A0A140TA40;A0A0A0MTG1;Q5ST30,VARS2,"Valine--tRNA ligase, mitochondrial",3656900,4729800,4356200,7145700,6387400,6389200
P0DPI2;A0A0B4J2D5,,,234720000,189230000,299510000,131630000,131340000,152530000
A0A0B4J2E5;Q15269,PWP2,Periodic tryptophan protein 2 homolog,0,0,0,0,0,1160700
A0A0B4J2F2;P57059,LOC102724428;SIK1,Serine/threonine-protein kinase SIK1,6282700,6937500,4708300,6931100,0,0
A0A0M3HER8;A6NEM1;A6NEY3;A6NI86;H0YKK7;A6NEF3,GOLGA6L9;GOLGA6L3;GOLGA6L10;GOLGA6L19;GOLGA6L4,Golgin subfamily A member 6-like protein 9;Putative golgin subfamily A member 6-like protein 3;Putative golgin subfamily A member 6-like protein 10;Putative golgin subfamily A member 6-like protein 19;Putative golgin subfamily A member 6-like protein 4,0,0,14664000,0,0,0
A0A0U1RRI6;P0DPI3;A0A0U1RR11,,,0,0,0,0,0,1454100
A0A2R8YFR7;Q12774,ARHGEF5,Rho guanine nucleotide exchange factor 5,0,0,6406300,0,0,0
A0A3B3IRV3,,,0,916870,0,0,0,0
A0AVF1,TTC26,Intraflagellar transport protein 56,0,0,0,0,0,4786400
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,292010000,233080000,216890000,310720000,359590000,270910000
A0FGR8,ESYT2,Extended synaptotagmin-2,70522000,70151000,80348000,25685000,21262000,26466000
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,0,0,0,0,0,510180
P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6;B9A064,IGLC1;IGLC6;IGLC7;IGLL5,Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region;Immunoglobulin lambda-like polypeptide 5,0,0,0,0,0,1780600
A0MZ66,KIAA1598,Shootin-1,93451000,97310000,76608000,46472000,55930000,42390000
A0PJW6,TMEM223,Transmembrane protein 223,0,2259000,1922200,0,0,0
A1KXE4,FAM168B,Myelin-associated neurite-outgrowth inhibitor,0,0,0,0,0,4269000
A1L020,MEX3A,RNA-binding protein MEX3A,5267100,5852500,5188900,12938000,13051000,11737000
A1L0T0,ILVBL,Acetolactate synthase-like protein,15375000,18737000,18561000,14079000,11419000,12732000
A1L170,C1orf226,Uncharacterized protein C1orf226,0,3928800,2316600,1995900,2477400,0
A1L188,C17orf89,Uncharacterized protein C17orf89,1044600,0,0,0,0,0
A1X283;Q5TCZ1,SH3PXD2B,SH3 and PX domain-containing protein 2B,191020000,198250000,145620000,123240000,134260000,119600000
A2RRP1,NBAS,Neuroblastoma-amplified sequence,38088000,42740000,40519000,48687000,44553000,42032000
A2RTX5,TARSL2,"Probable threonine--tRNA ligase 2, cytoplasmic",0,1513000,0,0,0,2010300
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,9048600,0,9427200,0,0,3445000
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,15781000,16589000,15015000,15625000,15369000,15630000
A3KN83;Q9Y2G9,SBNO1,Protein strawberry notch homolog 1,0,1212200,0,1772900,2993200,2067300
A4D1E9,GTPBP10,GTP-binding protein 10,3593900,4370900,5037800,6908300,7911200,6882100
A4D1P6,WDR91,WD repeat-containing protein 91,10243000,7935600,7011200,5036700,5928000,4879600
A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2,0,0,0,1972200,1561800,1771100
A4D1U4,LCHN,Protein LCHN,0,0,0,0,625820,0
Q8NCF0;A5D8T8;Q6UXF7,CLEC18C;CLEC18A;CLEC18B,C-type lectin domain family 18 member C;C-type lectin domain family 18 member A;C-type lectin domain family 18 member B,0,0,0,0,0,881330
A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C,2978700,0,0,0,0,0
A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,0,0,0,0,3391700,0
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,55340000,50637000,55862000,77314000,75917000,78106000
Q9GZQ8;A6NCE7,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,278420000,243480000,229690000,186990000,158840000,150080000
A6NCS4,NKX2-6,Homeobox protein Nkx-2.6,0,0,709740,0,0,0
A6NDG6,PGP,Phosphoglycolate phosphatase,9935100,10159000,10042000,15577000,13693000,12081000
A6NDU8,C5orf51,UPF0600 protein C5orf51,41223000,34259000,30103000,24095000,25434000,29722000
A6NE02,BTBD17,BTB/POZ domain-containing protein 17,0,0,0,10515000,0,7099900
A6NED2,RCCD1,RCC1 domain-containing protein 1,0,0,0,1352800,0,0
A6NFI3,ZNF316,Zinc finger protein 316,0,0,0,0,0,1094100
A6NHQ2,FBLL1,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,0,0,0,0,0,7288300
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,62590000,58521000,66734000,137310000,127050000,139170000
A6NIH7,UNC119B,Protein unc-119 homolog B,12974000,14844000,10464000,10033000,10635000,9676900
A6NJ46;Q9C056;P78426,NKX6-3;NKX6-2;NKX6-1,Homeobox protein Nkx-6.3;Homeobox protein Nkx-6.2;Homeobox protein Nkx-6.1,0,0,0,0,0,1229700
A6NJ78;P0C7V9,METTL15,Probable methyltransferase-like protein 15,0,0,3923100,3121500,0,0
Q9UFD9;A6NNM3;A6NJZ7,RIMBP3;RIMBP3B;RIMBP3C,RIMS-binding protein 3A;RIMS-binding protein 3B;RIMS-binding protein 3C,0,0,0,0,0,0
A6NK02,TRIM75P,Putative tripartite motif-containing protein 75,0,0,0,0,0,495500
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,1314600,0,0,1140500,1046100,1242300
A6NKG5,RTL1,Retrotransposon-like protein 1,48502000,46125000,38610000,4927400,5508200,3840100
A6NKT7,RGPD3,RanBP2-like and GRIP domain-containing protein 3,0,0,0,0,0,20792000
A6NMB9,FIGNL2,Putative fidgetin-like protein 2,0,0,0,1629600,2414300,1327000
