Protein_IDs,Gene_names,Protein_names
B7ZL25;A0A140TA45;A0A140TA40;A0A0A0MTG1;Q5ST30,VARS2,"Valine--tRNA ligase, mitochondrial"
P0DPI2;A0A0B4J2D5,,
A0A0B4J2F2;P57059,LOC102724428;SIK1,Serine/threonine-protein kinase SIK1
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6
A0FGR8,ESYT2,Extended synaptotagmin-2
A0MZ66,KIAA1598,Shootin-1
A1L020,MEX3A,RNA-binding protein MEX3A
A1L0T0,ILVBL,Acetolactate synthase-like protein
A1L170,C1orf226,Uncharacterized protein C1orf226
A1X283;Q5TCZ1,SH3PXD2B,SH3 and PX domain-containing protein 2B
A2RRP1,NBAS,Neuroblastoma-amplified sequence
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8
A3KN83;Q9Y2G9,SBNO1,Protein strawberry notch homolog 1
A4D1E9,GTPBP10,GTP-binding protein 10
A4D1P6,WDR91,WD repeat-containing protein 91
A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1
Q9GZQ8;A6NCE7,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NDG6,PGP,Phosphoglycolate phosphatase
A6NDU8,C5orf51,UPF0600 protein C5orf51
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1
A6NIH7,UNC119B,Protein unc-119 homolog B
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C
A6NKG5,RTL1,Retrotransposon-like protein 1
A6NMB9,FIGNL2,Putative fidgetin-like protein 2
A8CG34;Q96HA1;Q6PJE2;A6NF01,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121
Q9NQA3;C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3,WASH6P;WASH3P;WASH2P;WASH1;WASH4P,WAS protein family homolog 6;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;Putative WAS protein family homolog 4
A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7
A8MVW0,FAM171A2,Protein FAM171A2
A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like
A8MXV4,NUDT19,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial"
B1AK53,ESPN,Espin
B2RTY4,MYO9A,Unconventional myosin-IXa
C9JLW8,FAM195B,Protein FAM195B
E9PAV3;Q9H009,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
H3BP13;Q9UL33,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein
M5A8F1,ERVH48-1,Suppressyn
O00115,DNASE2,Deoxyribonuclease-2-alpha
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal"
O00139,KIF2A,Kinesin-like protein KIF2A
O00148,DDX39A,ATP-dependent RNA helicase DDX39A
O00151,PDLIM1,PDZ and LIM domain protein 1
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase
O00159,MYO1C,Unconventional myosin-Ic
O00161,SNAP23,Synaptosomal-associated protein 23
O00170,AIP,AH receptor-interacting protein
O00178,GTPBP1,GTP-binding protein 1
O00186,STXBP3,Syntaxin-binding protein 3
O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome
O00193,SMAP,Small acidic protein
O00203,AP3B1,AP-3 complex subunit beta-1
O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9
O00244,ATOX1,Copper transport protein ATOX1
O00257,CBX4,E3 SUMO-protein ligase CBX4
O00258,WRB,Tail-anchored protein insertion receptor WRB
O00264,PGRMC1,Membrane-associated progesterone receptor component 1
O00267,SUPT5H,Transcription elongation factor SPT5
O00273,DFFA,DNA fragmentation factor subunit alpha
O00291,HIP1,Huntingtin-interacting protein 1
O00292,LEFTY2,Left-right determination factor 2
O00299,CLIC1,Chloride intracellular channel protein 1
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial"
O00399,DCTN6,Dynactin subunit 6
O00400,SLC33A1,Acetyl-coenzyme A transporter 1
O00401,WASL,Neural Wiskott-Aldrich syndrome protein
O00410,IPO5,Importin-5
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial"
O00422,SAP18,Histone deacetylase complex subunit SAP18
O00423,EML1,Echinoderm microtubule-associated protein-like 1
